id,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,pool_qc,fence,misc_feature,sale_type,saleprice
109,RL,75.0,13517,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,725.0,GasA,Ex,Y,SBrkr,725,1479,0.0,2,1,Gd,6,Typ,0,No Fireplace,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,No Pool,No Fence,No Misc Feature,WD ,130500
544,RL,43.0,11492,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,913.0,GasA,Ex,Y,SBrkr,913,2122,1.0,2,1,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,No Pool,No Fence,No Misc Feature,WD ,220000
153,RL,68.0,7922,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,1057.0,GasA,TA,Y,SBrkr,1057,1057,1.0,1,0,Gd,5,Typ,0,No Fireplace,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,No Pool,No Fence,No Misc Feature,WD ,109000
318,RL,73.0,9802,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,384.0,GasA,Gd,Y,SBrkr,744,1444,0.0,2,1,TA,7,Typ,0,No Fireplace,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,No Pool,No Fence,No Misc Feature,WD ,174000
255,RL,82.0,14235,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,676.0,GasA,TA,Y,SBrkr,831,1445,0.0,2,0,TA,6,Typ,0,No Fireplace,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,No Pool,No Fence,No Misc Feature,WD ,138500
138,RL,137.0,16492,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,1517.0,GasA,Ex,Y,SBrkr,1888,1888,0.0,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,No Pool,No Fence,No Misc Feature,WD ,190000
2827,RM,35.0,3675,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,547.0,GasA,Gd,Y,SBrkr,1072,1072,1.0,2,0,TA,5,Typ,0,No Fireplace,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,No Pool,No Fence,No Misc Feature,New,140000
145,RL,75.0,12160,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,1188.0,GasA,Fa,Y,SBrkr,1188,1188,1.0,1,0,TA,6,Typ,0,No Fireplace,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,No Pool,MnPrv,No Misc Feature,COD,142000
1942,RL,75.0,15783,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,924.0,GasA,TA,Y,SBrkr,924,924,0.0,1,0,TA,6,Typ,0,No Fireplace,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,No Pool,MnPrv,Shed,WD ,112500
1956,RL,70.0,11606,Pave,No Alley,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,1040.0,GasA,TA,Y,SBrkr,1040,2080,0.0,1,2,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,No Pool,No Fence,No Misc Feature,WD ,135000
